logme r1 gpat logag y
-6.384581 0.05556561 0.4864901 -0.04163939 0.09878839
-6.68245 -0.0104712 0.1173246 -0.1132633 -0.01929602
-9.330069 -0.03846154 0.3948326 -0.1731312 -0.06850415
-4.355907 0 0.320738 -0.09519018 -0.03888151
-5.735104 -0.02797203 0.6416835 -0.5994766 -0.04690872
-6.188314 -0.245614 0.2351212 -0.1399988 0.1739354
-5.514172 -0.0530303 0.441379 -0.109573 -0.03643547
-5.907462 -0.105 0.3449594 0.0008693608 0.00754383
-7.366334 -0.05425101 0.8576858 -0.04956771 0.01330599
-4.364202 0.007246377 0.5405625 -0.4011503 -0.0007793195
-4.642055 -0.05782313 0.1760382 -0.1731058 0.07063617
-4.450007 0 0.4688923 -0.004107402 0.04968992
-6.655842 0.09433962 0.4625888 -0.09183502 0.1218129
-6.891133 -0.1206896 0.7506052 -0.1118234 0.05958003
-7.205538 -0.06713287 0.3700218 0.0005469302 0.03445182
-4.266195 -0.01604278 0.04987556 -0.06200708 -0.004670982
-4.767907 0.0734375 0.03338517 0.0005845544 -0.01306955
-4.349733 -0.1586777 0.03503869 -0.02649298 0.1002552
-4.984777 -0.02666666 0.04503041 -0.1650642 -0.01722017
-5.32585 -0.01630435 0.3041372 -0.6244021 0.07480833
-6.737348 -0.02232143 0.3489152 -0.07074282 -0.0007155705
-6.338669 0.01744966 0.5670911 -0.1197912 0.01765828
-5.849483 -0.148 0.2514995 0.02422209 -0.02299916
-6.556628 -0.1542857 1.08844 -0.1174934 0.05082146
-5.049709 -0.1048544 0.04274869 -0.1646055 0.01127666
-5.843834 -0.02366667 0.2455861 -0.005910574 0.02111849
-5.26858 -0.1025641 0.2849433 -0.2945458 0.02111849
-4.671501 -0.02453039 0.04145524 -0.1428626 -0.09844673
-4.635525 -0.2515723 0.02914436 -0.1876778 -0.009032263
-6.63817 -0.06787331 0.105779 -0.1020876 -0.05515269
-6.952029 -0.04530744 1.061067 -0.1398828 -0.04389699
-6.722389 -0.1923077 0.2406125 -0.09364212 -0.02484925
-5.095418 -0.02886598 0.3835915 -0.05137087 0.0002851565
-7.524804 0.02970297 0.832354 -0.1341466 -0.002691033
-5.117599 -0.0234192 0.04563605 -0.1185971 -0.03151309
-5.154476 -0.1196748 0.30222 -0.07831072 0.04334071
-6.549083 -0.1015075 1.045755 -0.0739712 0.0117727
-6.258966 0.07142857 0.4884754 -0.0860938 0.04323387
-5.921915 -0.05877778 0.0286714 -0.1324324 0.04486519
-5.53489 -0.006134969 0.2248921 -0.1192885 -0.125223
-7.196638 -0.08884422 0.6715349 -0.05542917 -0.01609081
-7.538729 -0.1881188 0.2426589 -0.1546449 -0.04554818
-7.067108 -0.1576227 0.2834455 -0.04567453 -0.03245294
-4.446057 0.02580645 0.2267623 0.05593481 0.004451823
-5.299428 -0.08308157 0.5888843 -0.1726278 -0.02490661
-6.010277 -0.04672897 0.2627873 -0.05280058 0.09254707
-7.354527 -0.1467505 0.3543744 -0.09961874 -0.004110028
-6.367037 -0.1456311 0.02635415 -0.1245175 -0.02125439
-6.594434 -0.0689394 0.08095861 -0.05442843 -0.01472381
-6.230739 -0.0955414 0.9536895 -0.168991 -0.08740864
-5.150675 -0.1072727 0.5442814 -0.07270484 0.07667405
